,Timestamp,Close,Volume_(BTC),Normalized_Change
383586,1348333080,12.16,4.48190789,0.0
385040,1348420320,11.85,17.37468353,0.0
386481,1348506780,11.88,10.1077441,0.0
387986,1348597080,12.0,14.533,0.0
389451,1348684980,12.1,1.54,0.0
390930,1348773720,12.29,2.02291489,0.0
392380,1348860720,12.26,30.0,0.0
393834,1348947960,12.22,15.0,-0.0008190008190008015
395350,1349038920,12.22,12.21358429,0.0
396803,1349126100,12.2,6.74003476,0.0
398268,1349214000,12.32,1.1,0.0
399708,1349300400,12.91,0.60339506,0.0
401151,1349386980,12.57,16.03579953,0.0
402596,1349473680,12.53,4.6,0.0
404045,1349560620,12.1,16.15384616,0.020242914979757085
405486,1349647080,11.75,10.0,0.0
406948,1349734800,11.62,7.083,0.0
408403,1349822100,11.99,10.3736447,0.0
409860,1349909520,12.14,10.81883787,0.0
411308,1349996400,12.09,4.68734491,0.0
412775,1350084420,11.95,54.90866969,0.0
414244,1350172560,11.85,2.0,0.0
415694,1350259560,11.78,1.68811016,0.0
417145,1350346620,11.8,2.77725224,0.0
418631,1350435780,11.79,21.3241608,0.0
420073,1350522300,11.9,14.84537815,0.0
421553,1350611100,11.84,37.43794163,-0.0033898305084745037
423015,1350698820,11.58,8.87768686,0.001724137931034446
424619,1350795060,11.59,4.94610789,0.0
426059,1350881460,11.44,13.5,0.0
427529,1350969660,11.46,3.07,0.0
428976,1351056480,11.41,5.43,0.0
430483,1351146900,11.06,0.49251711,0.0
431954,1351235160,10.5,148.34194,0.0
433477,1351326540,9.5,3.0,0.0
434920,1351413120,10.35,6.0,0.0
436453,1351505100,10.38,1.34200385,0.0
437903,1351592100,10.79,10.09731232,0.0
439367,1351679940,10.79,8.039,-0.0009276437847866222
440809,1351766460,10.98,0.0914,0.0
442250,1351852920,10.67,5.85,0.0
443705,1351940220,10.55,14.65165,-0.0028517110266160777
445145,1352026620,10.5,15.52875,0.0
446585,1352113020,10.55,14.54493839,0.0
448026,1352199480,10.56,10.49236724,0.0
449480,1352286720,10.73,1.9748369,0.0
450939,1352374260,10.51,0.98,0.0
452388,1352461200,10.83,235.77931671,0.0
454001,1352557980,10.7,3.0,0.0
455575,1352652420,10.66,6.25600186,0.0
457018,1352739000,10.85,11.61961396,-0.0009225092250922313
458546,1352830680,10.89,14.723,0.0
460035,1352920020,10.98,43.06284153,0.0
461481,1353006780,10.93,11.18035,0.0
462939,1353094260,11.56,43.2,-0.009606986899563425
464379,1353180660,11.45,14.55286806,0.0
465820,1353267120,11.57,4.3889369,0.0
467260,1353353520,11.58,36.5,0.0
468714,1353440760,11.64,8.20962199,0.0
470165,1353527820,11.63,4.0,0.0
471614,1353614760,11.67,31.27464687,0.0
473075,1353702420,12.09,3.08602151,0.0
474533,1353789900,12.26,20.11,0.0
475983,1353876900,12.28,19.11699457,0.0
477434,1353963960,12.31,0.67443369,0.0
478891,1354051380,12.03,2.14214464,0.0
480345,1354138620,12.24,6.0,0.0
481829,1354227660,12.23,3.941,0.0
483302,1354316040,12.43,38.42799678,0.0
484749,1354402860,12.44,1.0,0.0
486190,1354489320,12.45,2.22248995,0.0
487632,1354575840,12.5,13.2,0.0
489072,1354662240,12.81,1.0,0.0
490514,1354748760,13.2,13.25757576,0.0
491956,1354835280,13.56,1.37241888,0.0
493550,1354930920,13.3,3.031929,0.0
495042,1355020440,13.35,1.0,0.0
496675,1355118420,13.13,1.0,0.0
498131,1355205780,13.18,20.9,0.0
499573,1355292300,13.43,49.14977058,0.0
501051,1355380980,13.4,3.71268657,0.0
502529,1355469660,13.52,5.74315,0.0
504068,1355562000,13.4,7.42537313,0.0
505560,1355651520,13.35,1.0,0.0
507030,1355739720,12.95,40.30579151,0.0
508485,1355827020,12.9,376.43358027,0.012251148545176121
509928,1355913600,13.2,13.21,0.0
511397,1356001740,13.38,1.0,0.0
512846,1356088680,13.31,0.98,0.0
514338,1356178200,13.23,1.0,0.0
515815,1356266820,13.11,8.03822,0.0
517259,1356353460,13.18,1.96856049,0.0
518723,1356441300,13.21,1.50643452,0.0
520165,1356527820,13.08,1.0,0.0
521609,1356614460,13.25,9.55805006,0.0
523093,1356703500,13.1,10.0,0.0
524693,1356799500,13.24,4.01575717,0.0
526176,1356888480,13.27,19.721249,0.0
527616,1356974880,13.28,4.13140641,0.0
529074,1357062360,13.14,4.755,0.0
530541,1357150380,13.14,5.30060883,0.0
531990,1357237320,12.97,7.06553652,0.0
